name                                        ,difficulty ,verifier          ,creators                         ,location                  ,gpStyle                             ,difficultySource             ,length                       ,verifDate            ,videoLink
Tower of Qwerty Uiop                        ,     13.09 ,jeang4me          ,Purple_BaconHair                 ,Domain 1 (CTT)            ,"Purism, Technical"                 ,"Raw Difficulty, Length"     ,Long (20+ min.)              ,"December 31, 2024"  ,https://www.youtube.com/embed/v5f32f4Poks
Citadel of Infinite Void                    ,     13.06 ,skitsuna          ,Various Creators                 ,The Eternal Abyss (LFPoM) ,Mixed                               ,"Length, Punishment"         ,Ridiculously Long (60+ min.) ,"October 14, 2023"   ,https://www.youtube.com/embed/Mtcliw0KJ4w
Tower of Spiralling Fates                   ,     13.04 ,MonsterIsABlock   ,ciel_azulsky                     ,The Eternal Abyss (LFPoM) ,"Purism, Technical"                 ,Length                       ,Long (20+ min.)              ,"October 26, 2024"   ,https://www.youtube.com/embed/Wc3IJivXjfE
Tower of Sudden Death                       ,     13.00 ,llyaria           ,"WaterMakeer, CosmikChaos"       ,Domain 1 (CTT)            ,Camera Control                      ,"Raw Difficulty, Punishment" ,Very Short (5+ min.)         ,"January 3, 2025"    ,https://www.youtube.com/embed/GEUZ8UeB9VI
Citadel of The Eternal Calamity             ,     12.86 ,Marqulitt         ,ZePlayerSlayer                   ,The Eternal Abyss         ,Mixed                               ,"Length, Punishment"         ,Ridiculously Long (60+ min.) ,"July 13, 2024"      ,https://www.youtube.com/embed/cZefNeSBC40
Tower of Blind Fate                         ,     12.80 ,skitsuna          ,Nosav                            ,The Eternal Abyss (LFPoM) ,"Linear, Purism"                    ,"Length, Punishment"         ,Long (20+ min.)              ,"August 13, 2024"    ,https://www.youtube.com/embed/uALJaitSYNs
Tower of Dissociative Force                 ,     12.75 ,exexic            ,sladoledenavafla                 ,N/A                       ,"Client Objects, Linear, Technical" ,"Raw Difficulty, Length"     ,Very Long (30+ min.)         ,"May 13, 2024"       ,https://www.youtube.com/embed/7l45R-XXwtE
Ikea Tower                                  ,     12.70 ,MonsterIsABlock   ,Higherthanblox                   ,The Eternal Abyss         ,"Purism, Linear"                    ,Raw Difficulty               ,Short (10+ min.)             ,"June 7, 2024"       ,https://www.youtube.com/embed/fpJmckiIzFw
Tower of Jaded Compromise                   ,     12.58 ,Truespirit        ,"glizzygladiattorrr, Incindius"  ,N/A                       ,"Client Objects, Technical"         ,Raw Difficulty               ,Moderate (15+ min.)          ,"July 14, 2024"      ,https://www.youtube.com/embed/Qvnn5IDNJRQ
Tower of Eternal Void                       ,     12.55 ,skitsuna          ,Various Creators                 ,The Eternal Abyss (LFPoM) ,Mixed                               ,"Length, Punishment"         ,Extremely Long (45+ min.)    ,"July 25, 2022"      ,https://www.youtube.com/embed/WaYp7yKc1Cs
Tower of Thje Floor                         ,     12.50 ,lindsayfairlamb   ,"tntyxz, Yellow78dog"            ,N/A                       ,"Cam Control, Purism"               ,"Raw Difficulty, Punishment" ,Very Short (5+ min.)         ,"August 5, 2024"     ,https://www.youtube.com/embed/xTjwovGVEe4
Tower of Weird Core                         ,     12.48 ,llyaria           ,"ScorpioexLOLez, empyrae"        ,Domain 1 (CTT)            ,"Camera Control, Purism"            ,Raw Difficulty               ,Very Short (5+ min.)         ,"January 8, 2025"    ,https://www.youtube.com/embed/EvUPqYkNPG4
Tower of Lavender Lustre                    ,     12.46 ,MyntExists        ,"zkv07, ScorpioexLOLez"          ,Domain 1 (CTT)            ,Client Objects                      ,Raw Difficulty               ,Moderate (15+ min.)          ,"December 30, 2024"  ,https://www.youtube.com/embed/AwaFPCd-6Sk
Tower of Spiritual Rise                     ,     12.44 ,a6iq1             ,"FusionZ_9, Tylerlfc12"          ,The Eternal Abyss         ,"Purism, Technical"                 ,Raw Difficulty               ,Moderate (15+ min.)          ,"November 20, 2024"  ,https://www.youtube.com/embed/YwaDNUaAuCk
Tower of Prismal Radiance                   ,     12.42 ,Truespirit        ,"glizzygladiattorrr, liu06"      ,N/A                       ,Client Objects                      ,"Raw Difficulty, Punishment" ,Short (10+ min.)             ,"August 10, 2024"    ,https://www.youtube.com/embed/d5S1eylAsyw
Tower of Lucas Penteado                     ,     12.40 ,tinenderman       ,"1fren6, liu06"                  ,Scope 1 (CSCD)            ,Technical                           ,Raw Difficulty               ,Short (10+ min.)             ,"November 26, 2023"  ,https://www.youtube.com/embed/wwue1vcDjjE
Tower of Flagrant Aggravation               ,     12.37 ,exexic            ,sokol50                          ,Domain 1 (CTT)            ,Technical                           ,"Raw Difficulty, Punishment" ,Short (10+ min.)             ,"January 19, 2024"   ,https://www.youtube.com/embed/f68RSZgklJI
