name,difficulty,creators,wr,gpStyle,difficultySource,length,quality
Tower of Impending Doom,Unreal,Various Creators,Floor 7,Mixed,Length/Punishment,Ridiculously Long (90+ min.),A,
Tower of Qwerty Uiop,Unreal,Purple_BaconHair,Floor 6,,Raw Difficulty,Moderate (20+ min.),A,
Tower of Void,Unreal,Various Creators,Floor 5,Mixed,Length/Punishment,Very Long (45+ min.),C,
STONE: Reborn,Unreal,IceNSalt,Floor 2,Mixed,Raw Difficulty/Length,Long (30+ min.),U,
Tower of Wigglecore,Unreal,"ScorpioexLOLez, kkdpracticeacc",Floor 2,Purism/Cam Control,Raw Difficulty,Very Short (10+ min.),B,
Corner Tower,Unreal,"OrangeBubblyTea, HybridLevitation",Floor 10,,,Short (15+ min.),D,
Tower of Sudden Death,Unreal,WaterMakeer,Floor 8,Cam Control,Raw Difficulty/Punishment,Very Short (10+ min.),A,
Great Citadel of Great Difficulty Chart,Unreal,Cyclorm,Floor 74,Classic,Raw Difficulty/Length,Inhumanely Long (120+ min.),D,
Tower of Paradise,Unreal,Macloux,Floor 4,,Raw Difficulty/Punishment,Very Short (10+ min.),C,
Tower of Hyperfantasian Daydreams,Unreal,"t_azk, 3_XW",Floor 3,,,Short (15+ min.),A,
Tower of The Quest For Perfection,Unreal,"4d9r, goose_underscore",Floor 3,Classic,,Very Long (45+ min.),F,
Steeple of Last Bastion,Unreal,Sceptile19,Floor 2,Client Objects,,,S,
Tower of Absolute Nonsense,Unreal,Nicbran123,N/A,,,Very Short (10+ min.),B,
Tower of Dense Beauty,Unreal,"OrangeBubblyTea, HybridLevitation",N/A,,,,B,
Tower of Death Corridor,Unreal,ALEXLS8,N/A,,,,U,
Tower of Gwa X2,Unreal,Various Creators,N/A,,,,U,
Tower of The Squirtin,Unreal,"Incindius, glizzygladiattorrr",N/A,,,Short (15+ min.),U,
Tower of Lunar Bounce,Unreal,Kinjiture,N/A,,,,U,
Tower of Lethal Weapon,Unreal,Rag_nva,N/A,,,Short (15+ min.),A,
Tower of Magnified Longing,Unreal,brainstqrminq,N/A,,Length/Punishment,Very Long (45+ min.),C,
Tower of Muscle Mania,Unreal,elusivveeee,N/A,,,Moderate (20+ min.),B,
Nokia Tower,Unreal,Sagxtar,N/A,,,,A,
Tower of Ohio Melon,Unreal,"tritone246, Forstaken2008xs",N/A,Mixed,Gameplay/Punishment,Long (30+ min.),C,
Target Tower,Unreal,Various Creators,N/A,,,Extremely Short (5+ min.),D,
Tower of Window Unexpectancy,Unreal,Various Creators,N/A,,,Short (15+ min.),A,
Tower of Impaired Nemesis,Unreal,Forstaken2008xs,N/A,,Length/Punishment,Extremely Long (60+ min.),C,
Tower of LongHopping,Unreal,8seny,N/A,,,Extremely Short (5+ min.),F,
Tower of Sorrows For Anguish,Unreal,SpaceSpiderYT,N/A,,,Moderate (20+ min.),C,
Tower of The Roof's Sequel,Unreal,callenceruleancerise,N/A,Low Roof,,Short (15+ min.),D,
Steeple of Nilly Bob,Horri/Unreal,bLockerman666,N/A,,,Extremely Short (5+ min.),D,
Tower of Monochromatic Haze,Horri/Unreal,"Forstaken2008xs, Tweeter",Floor 5,,,Moderate (20+ min.),B,
Tower of Deleterious Complication,Horri/Unreal,Boss13e13e,N/A,,,,U,
Tower of Substantial Quietus,Horrific,"ciel_azulsky, 60mmm",Floor 4,,,Very Long (45+ min.),D,
Tower of Weird Core,Horrific,"ScorpioexLOLez, empyrae",N/A,Purism/Cam Control,Raw Difficulty,Very Short (10+ min.),A,
Tower of The Curve's Desire,Horrific,ZePlayerSlayer,Floor 5,,,Moderate (20+ min.),A,
Tower of Yasamsal Kiyamet,Horrific,Various Creators,Floor 4,Purism,Raw Difficulty,Extremely Short (5+ min.),A,
Tower of Eternal Distress,Horrific,Various Creators,Floor 8,Client Objects,Raw Difficulty/Punishment,Long (30+ min.),A,
Tower of Severe Pain,Horrific,"kluczdoskarbu, SelfAboutMad",N/A,,,Moderate (20+ min.),U,
Forgotten Tower 1,Horrific,symmetric_al,Floor 2,,,Short (15+ min.),D,
Citadel of Everlasting Isles,Horrific,Various Creators,Floor 13,,,Ridiculously Long (90+ min.),U,
Tower of Devious Purism,Horrific,FusionZ_9,Floor 9,,,Short (15+ min.),C,
Tower of Compromised Fear,Horrific,"as_AGAIN, 07zkv",Floor 5,,,,A,
Steeple of Daze,Horrific,Nosav,Floor 5,,,,B,
Tower of Thje Roof,Horrific,FusionZ_9,Floor 5,Purism/Cam Control,"Gameplay, Punishment",Extremely Short (5+ min.),U,
Tower of Challenging Obstacle Anarchy,Horrific,Hyperionite07,Floor 4,,,Long (30+ min.),D,
Tower of Nebulaic Remnants,Horrific,zlv,Floor 3,Cam Control,"Gameplay, Punishment",Very Short (10+ min.),B,
3008 Tower,Horrific,pczm1,Floor 2,Jank/Purism,Raw Difficulty,Moderate (20+ min.),S,
Finland Tower,Horrific,Various Creators,Floor 2,,,Very Short (10+ min.),F,
Tower of Another Godly Ceiling,Horrific,Various Creators,N/A,,,Short (15+ min.),D,
Tower of Ballistic Indignation,Horrific,Various Creators,N/A,,,Very Long (45+ min.),D,
Cone Tower,Horrific,"Arkan0704, OMG_Devs",N/A,,,,F,
Tower of Deadly Fails,Horrific,Delukes51,N/A,,,Short (15+ min.),D,
Tower of Familiar Voids,Horrific,SwetZ8,N/A,,,Long (30+ min.),D,
Tower of Exhausting Journey,Horrific,TotallyCoolAubrey,N/A,,,Moderate (20+ min.),B,
Tower of Gtg house on fire,Horrific,"tomaslimt, wesleytjes, nidl",N/A,,,,F,
Tower of Jank Food,Horrific,Subang_Jaya,N/A,,,,F,
METAL Facility,Horrific,fanofpixels,N/A,,,,C,
Tower of Meticulous Equivocal Wits,Horrific,TeasTown,N/A,,,,U,
Tower of Phantasmagoric Lunacy,Horrific,vRxyii,N/A,,,,F,
Citadel of User Generated Floors,Horrific,Various Creators,N/A,,,Ridiculously Long (90+ min.),A,
Tower of Vague Luminescence,Horrific,glizzygladiattorrr,N/A,,,Very Short (10+ min.),B,
Tower of Vital Valiance,Horrific,Forstaken2008xs,N/A,Mixed,Raw Difficulty/Punishment,Short (15+ min.),B,
Tower of What's Beyond The Clouds,Horrific,SpaceSpiderYT,N/A,,,Very Short (10+ min.),B,
Tower of End Word,Horrific,Zupez0,Floor 9,,,,C,
Tower of Essential Expertise,Horrific,Forstaken2008xs,Floor 4,,,,D,
Tower of Lucid Nightmares,Horrific,Various Creators,Floor 4,Memory,Raw Difficulty,Very Short (10+ min.),C,
Tower of The Pursuit for Greatness,Horrific,Bean,Floor 4,,,Very Short (10+ min.),U,
Tower of Diverging Expeditions,Horrific,necwopolis,Floor 4,,,,U,
Tower of Forsaken Expeditions,Horrific,"arthraix, Exzer",Floor 4,,,,D,
Tower of Pointless Grinding,Horrific,Various Creators,Floor 3,,,Extremely Short (5+ min.),U,
Tower of The Purest Frustration,Horrific,trewopt,Floor 3,,,,C,
Steeple of The Undying Abyss,Horrific,Joshy_24891,Floor 2,,,Extremely Short (5+ min.),U,
Tower of A Deadly Mindset,Horrific,prestonandaldon,N/A,,,,U,
Tower of Bright Abnormal Damnation,Horrific,Vilo_Land,N/A,,,Short (15+ min.),U,
Tower of Benighted Convergence,Horrific,r_jlS,N/A,,,,U,
Steeple of Concluding Conclusions,Horrific,kzq04,N/A,,,,U,
Tower of Classical Treachery,Horrific,Forstaken2008xs,N/A,,,,U,
Tower of Crucial Tolerance,Horrific,Forstaken2008xs,N/A,,,,U,
Tower of Compacting the Middle,Horrific,SocialM_an,N/A,,,Very Short (10+ min.),U,
Tower of Desolate Desires,Horrific,Findabletag,N/A,,,Extremely Short (5+ min.),U,
Tower of Diabolical Jumps,Horrific,ALEXLS8,N/A,,,Short (15+ min.),U,
Steeple of Extensive and Monotonous Interference,Horrific,Forstaken2008xs,N/A,,,,U,
Tower of Forgotten Sandstone Edifice,Horrific,Fokil4,N/A,,,,F,
Tower of HelloWorld,Horrific,DragonGotBnned,N/A,,,,D,
Tower of Insufferable Displeasure,Horrific,arthraix,N/A,,,Short (15+ min.),U,
Tower of Juks Wrath,Horrific,juk_n,N/A,,,,D,
Tower of Linear Jank,Horrific,Various Creators,N/A,,,Extremely Short (5+ min.),B,
Tower of Leaden Revolutions,Horrific,AAAAFanboy,N/A,,,Long (30+ min.),U,
Tower of Net,Horrific,Hyperfantasies,N/A,,,,D,
Tower of Nefarious Vibrancy,Horrific,imablueguy,N/A,,,Short (15+ min.),U,
Tower of Obelisk,Horrific,JurayLikesJava,N/A,,,,U,
Tower of Overstimulating Simulations,Horrific,Zeeman2006op,N/A,,,,U,
Tower of Short Venture,Horrific,"callenceruleancerise, tweet",N/A,,,Very Short (10+ min.),U,
Tower of The Disastrous Embellishment,Horrific,callenceruleancerise,N/A,,,Very Short (10+ min.),U,
Tower of The Goodguygabed,Horrific,"JurayLikesJava, Clever_Daniel",N/A,,,Very Short (10+ min.),U,
Tower of Technical Requirements,Horrific,Ailerox,N/A,,,,U,
Tower of What The Heck,Horrific,seafoamjade,N/A,,,,U,
Tower of Your Short-Term Session,Horrific,CoilThat,N/A,,,Extremely Short (5+ min.),U,
Tower of Zealous Fragments,Horrific,tritone246,N/A,,,,U,
Tower of Endless Marathon,Cata/Horri,Various Creators,Floor 3,,,Ridiculously Long (90+ min.),C,
Tower of Meaningfulness,Cata/Horri,SwetZ8,N/A,Purism,Raw Difficulty,Very Short (10+ min.),S,
Tower of Washing Ton,Cata/Horri,Various Creators,N/A,,,Long (30+ min.),D,
Tower of Stardust Conflagration,Catastrophic,the_atoms,N/A,,,Moderate (20+ min.),S,
Tower of Explore My World,Catastrophic,Fawami11,N/A,Client Objects/Linear,Raw Difficulty/Punishment,Moderate (20+ min.),S,
Tower of Atmospheric Launch,Catastrophic,TheAngrySlime,N/A,,,,A,
